goalkeepers,,,
Cech,Arsenal,38,5.5
Courtois,Chelsea,121,5.5
Hart,Man City,142,5.5
de Gea,Man Utd,138,5.5
Ospina,Arsenal,76,5
Begovic,Chelsea,106,5
Howard,Everton,84,5
Mignolet,Liverpool,149,5
Caballero,Man City,3,5
Valdés,Man Utd,11,5
Forster,Southampton,118,5
Lloris,Spurs,121,5
Pantilimon,Sunderland,123,5
Fabianski,Swansea,151,5
Foster,West Brom,98,5
Adrián,West Ham,142,5
Guzan,Aston Villa,112,4.5
Speroni,Crystal Palace,115,4.5
Robles,Everton,26,4.5
Schmeichel,Leicester,83,4.5
Krul,Newcastle,99,4.5
Davis K,Southampton,22,4.5
Vorm,Spurs,14,4.5
Given,Stoke,7,4.5
Butland,Stoke,15,4.5
Mannone,Sunderland,31,4.5
Myhill,West Brom,56,4.5
Hennessey,Crystal Palace,9,4
Schwarzer,Leicester,19,4
Elliot,Newcastle,5,4
defenders,,,
Terry,Chelsea,177,7
Ivanovic,Chelsea,179,7
Cahill,Chelsea,130,6.5
Baines,Everton,139,6.5
Koscielny,Arsenal,120,6
Azpilicueta,Chelsea,132,6
Coleman,Everton,130,6
Zabaleta,Man City,106,6
Kompany,Man City,66,6
Smalling,Man Utd,91,6
Mertesacker,Arsenal,121,5.5
Bellerín,Arsenal,77,5.5
Gibbs,Arsenal,76,5.5
Debuchy,Arsenal,23,5.5
Monreal,Arsenal,92,5.5
Zouma,Chelsea,40,5.5
Jagielka,Everton,142,5.5
Stones,Everton,82,5.5
Skrtel,Liverpool,124,5.5
Clyne,Liverpool,142,5.5
Kolarov,Man City,92,5.5
Clichy,Man City,93,5.5
Demichelis,Man City,84,5.5
Mangala,Man City,95,5.5
Jones,Man Utd,73,5.5
Shaw,Man Utd,34,5.5
Rojo,Man Utd,64,5.5
Valencia,Man Utd,88,5.5
Caulker,Southampton,74,5.5
Bertrand,Southampton,140,5.5
Fonte,Southampton,139,5.5
Rose,Spurs,103,5.5
Vertonghen,Spurs,90,5.5
Trippier,Spurs,118,5.5
Cresswell,West Ham,129,5.5
Gabriel,Arsenal,16,5
Chambers,Arsenal,68,5
Bacuna,Aston Villa,48,5
Dann,Crystal Palace,105,5
Schlupp,Leicester,98,5
Sakho,Liverpool,60,5
Lovren,Liverpool,66,5
Moreno,Liverpool,94,5
Sagna,Man City,22,5
Rafael,Man Utd,21,5
Evans,Man Utd,53,5
McNair,Man Utd,34,5
Janmaat,Newcastle,118,5
Alderweireld,Spurs,88,5
Walker,Spurs,27,5
Dier,Spurs,93,5
Fazio,Spurs,50,5
Shawcross,Stoke,92,5
Pieters,Stoke,84,5
Johnson,Stoke,57,5
van Aanholt,Sunderland,84,5
Naughton,Swansea,34,5
Williams,Swansea,118,5
Taylor,Swansea,109,5
Fernández,Swansea,93,5
Chester,West Brom,82,5
Dawson,West Brom,99,5
Lescott,West Brom,127,5
McAuley,West Brom,89,5
Jenkinson,West Ham,94,5
Reid,West Ham,61,5
Tomkins,West Ham,72,5
Richardson,Aston Villa,40,4.5
Cissokho,Aston Villa,70,4.5
Hutton,Aston Villa,70,4.5
Clark,Aston Villa,60,4.5
Okore,Aston Villa,58,4.5
Distin,Bournemouth,20,4.5
Aké,Chelsea,1,4.5
Ward,Crystal Palace,90,4.5
Kelly,Crystal Palace,65,4.5
Delaney,Crystal Palace,57,4.5
Souaré,Crystal Palace,15,4.5
Hangeland,Crystal Palace,42,4.5
Galloway,Everton,3,4.5
Morgan,Leicester,112,4.5
Wasilewski,Leicester,72,4.5
Konchesky,Leicester,62,4.5
de Laet,Leicester,44,4.5
Huth,Leicester,55,4.5
José Enrique,Liverpool,9,4.5
Touré,Liverpool,25,4.5
Blackett,Man Utd,16,4.5
Coloccini,Newcastle,80,4.5
Haidara,Newcastle,44,4.5
Dummett,Newcastle,58,4.5
Williamson,Newcastle,58,4.5
Wisdom,Norwich,75,4.5
Yoshida,Southampton,73,4.5
Gardos,Southampton,35,4.5
Chiriches,Spurs,20,4.5
Davies,Spurs,31,4.5
Yedlin,Spurs,1,4.5
Wilson,Stoke,63,4.5
Cameron,Stoke,66,4.5
Muniesa,Stoke,59,4.5
Bardsley,Stoke,66,4.5
Wollscheid,Stoke,26,4.5
Kaboul,Sunderland,28,4.5
O'Shea,Sunderland,107,4.5
Jones,Sunderland,44,4.5
Brown,Sunderland,63,4.5
Coates,Sunderland,32,4.5
Rangel,Swansea,64,4.5
Bartley,Swansea,13,4.5
Amat,Swansea,19,4.5
Olsson,West Brom,32,4.5
Pocognoli,West Brom,41,4.5
Collins,West Ham,54,4.5
O'Brien,West Ham,15,4.5
Senderos,Aston Villa,22,4
Baker,Aston Villa,29,4
Mariappa,Crystal Palace,25,4
Fryers,Crystal Palace,1,4
Hibbert,Everton,7,4
Browning,Everton,2,4
Simpson,Leicester,25,4
Moore,Leicester,13,4
Steven Taylor,Newcastle,24,4
Targett,Southampton,7,4
Tiendalli,Swansea,2,4
Gamboa,West Brom,12,4
Burke,West Ham,19,4
midfielders,,,
Hazard,Chelsea,233,11.5
Sánchez,Arsenal,207,11
Silva,Man City,191,10
Walcott,Arsenal,51,9
Fàbregas,Chelsea,165,9
Sterling,Man City,158,9
Özil,Arsenal,103,8.5
Cazorla,Arsenal,168,8.5
Ramsey,Arsenal,116,8.5
Oscar,Chelsea,126,8.5
Yaya Touré,Man City,134,8.5
Mata,Man Utd,138,8.5
Di María,Man Utd,107,8.5
Eriksen,Spurs,162,8.5
Coutinho,Liverpool,134,8
Mané,Southampton,137,8
Cuadrado,Chelsea,17,7.5
Lallana,Liverpool,93,7.5
Sigurdsson,Swansea,154,7.5
Willian,Chelsea,104,7
Mirallas,Everton,81,7
Henderson,Liverpool,162,7
Milner,Liverpool,107,7
Nasri,Man City,78,7
Herrera,Man Utd,98,7
Tadic,Southampton,117,7
Chadli,Spurs,160,7
Lamela,Spurs,93,7
Bolasie,Crystal Palace,132,6.5
Barkley,Everton,75,6.5
Navas,Man City,101,6.5
Fellaini,Man Utd,89,6.5
de Jong,Newcastle,10,6.5
Cabella,Newcastle,71,6.5
Wilshere,Arsenal,36,6
Chamberlain,Arsenal,57,6
Puncheon,Crystal Palace,128,6
Markovic,Liverpool,47,6
Fernandinho,Man City,95,6
Young,Man Utd,89,6
Sissoko,Newcastle,103,6
Gouffran,Newcastle,67,6
Ward-Prowse,Southampton,72,6
Townsend,Spurs,44,6
Lennon,Spurs,62,6
Adam,Stoke,97,6
Walters,Stoke,125,6
Arnautovic,Stoke,84,6
Johnson,Sunderland,98,6
Montero,Swansea,80,6
Grealish,Aston Villa,31,5.5
Atsu,Bournemouth,9,5.5
Ramires,Chelsea,55,5.5
Moses,Chelsea,66,5.5
Zaha,Crystal Palace,91,5.5
Cleverley,Everton,81,5.5
Mahrez,Leicester,102,5.5
Can,Liverpool,66,5.5
Delph,Man City,69,5.5
Schneiderlin,Man Utd,90,5.5
Januzaj,Man Utd,31,5.5
Blind,Man Utd,82,5.5
Colback,Newcastle,114,5.5
Brady,Norwich,59,5.5
Ramírez,Southampton,45,5.5
Dembélé,Spurs,49,5.5
Larsson,Sunderland,105,5.5
Giaccherini,Sunderland,9,5.5
Routledge,Swansea,81,5.5
Shelvey,Swansea,99,5.5
Ki Sung-yueng,Swansea,129,5.5
Sessegnon,West Brom,67,5.5
Gardner,West Brom,99,5.5
Brunt,West Brom,128,5.5
Noble,West Ham,89,5.5
Nolan,West Ham,62,5.5
Kouyaté,West Ham,98,5.5
Arteta,Arsenal,19,5
Rosicky,Arsenal,36,5
Carles Gil,Aston Villa,12,5
N'Zogbia,Aston Villa,58,5
Cole,Aston Villa,25,5
Sinclair,Aston Villa,22,5
Matic,Chelsea,90,5
Loftus-Cheek,Chelsea,4,5
Jedinak,Crystal Palace,86,5
Ledley,Crystal Palace,81,5
McArthur,Crystal Palace,79,5
Osman,Everton,58,5
McCarthy,Everton,79,5
McGeady,Everton,44,5
Pienaar,Everton,18,5
Albrighton,Leicester,60,5
Allen,Liverpool,55,5
Ibe,Liverpool,21,5
Fernando,Man City,67,5
Carrick,Man Utd,57,5
Pereira,Man Utd,1,5
Aarons,Newcastle,13,5
Dorrans,Norwich,57,5
Davis,Southampton,79,5
Hesketh,Southampton,1,5
Mason,Spurs,75,5
Carroll,Spurs,21,5
Ireland,Stoke,33,5
Odemwingie,Stoke,8,5
Rodwell,Sunderland,55,5
Gómez,Sunderland,81,5
Buckley,Sunderland,37,5
Cork,Swansea,74,5
Dyer,Swansea,85,5
Capoue,Watford,23,5
Morrison,West Brom,95,5
McManaman,West Brom,11,5
Jarvis,West Ham,14,5
Amalfitano,West Ham,54,5
Coquelin,Arsenal,45,4.5
Flamini,Arsenal,51,4.5
Westwood,Aston Villa,55,4.5
Sánchez,Aston Villa,52,4.5
Mikel,Chelsea,28,4.5
Mutch,Crystal Palace,27,4.5
Bannan,Crystal Palace,7,4.5
Williams,Crystal Palace,2,4.5
Lee Chung-yong,Crystal Palace,3,4.5
Guédioura,Crystal Palace,6,4.5
Barry,Everton,66,4.5
Gibson,Everton,14,4.5
Besic,Everton,29,4.5
Oviedo,Everton,9,4.5
King,Leicester,57,4.5
Drinkwater,Leicester,39,4.5
Hammond,Leicester,20,4.5
Knockaert,Leicester,13,4.5
James,Leicester,49,4.5
Lucas,Liverpool,37,4.5
Obertan,Newcastle,31,4.5
Tioté,Newcastle,23,4.5
Abeid,Newcastle,22,4.5
Anita,Newcastle,33,4.5
Mulumbu,Norwich,25,4.5
Wanyama,Southampton,80,4.5
Reed,Southampton,17,4.5
Bentaleb,Spurs,55,4.5
Whelan,Stoke,56,4.5
Sidwell,Stoke,13,4.5
Cattermole,Sunderland,58,4.5
Bridcutt,Sunderland,22,4.5
Britton,Swansea,15,4.5
Fulton,Swansea,4,4.5
Grimes,Swansea,3,4.5
Fletcher,West Brom,55,4.5
Yacob,West Brom,35,4.5
Poyet,West Ham,3,4.5
forwards,,,
Agüero,Man City,216,13
Costa,Chelsea,150,11
Sturridge,Liverpool,46,10.5
Rooney,Man Utd,132,10.5
Kane,Spurs,191,9.5
Giroud,Arsenal,120,9
Benteke,Liverpool,127,8.5
Bony,Man City,108,8.5
Lukaku,Everton,135,8
Pellè,Southampton,149,8
Welbeck,Arsenal,89,7.5
Remy,Chelsea,64,7.5
Falcao,Chelsea,76,7.5
Ings,Liverpool,139,7.5
Dzeko,Man City,61,7.5
Balotelli,Liverpool,32,7
Gomis,Swansea,84,7
Cissé,Newcastle,97,6.5
Diouf,Stoke,128,6.5
Berahino,West Brom,148,6.5
Carroll,West Ham,56,6.5
Sakho,West Ham,98,6.5
Murray,Crystal Palace,70,6
Wickham,Crystal Palace,85,6
Vardy,Leicester,120,6
Ulloa,Leicester,130,6
Kramaric,Leicester,27,6
Hernández,Man Utd,1,6
Long,Southampton,89,6
Adebayor,Spurs,40,6
Soldado,Spurs,36,6
Crouch,Stoke,101,6
Lambert,West Brom,50,6
Valencia,West Ham,94,6
Gayle,Crystal Palace,67,5.5
Campbell,Crystal Palace,51,5.5
Naismith,Everton,98,5.5
Nugent,Leicester,70,5.5
Borini,Liverpool,19,5.5
Ayoze,Newcastle,98,5.5
Rivière,Newcastle,46,5.5
Bojan,Stoke,59,5.5
Defoe,Sunderland,61,5.5
Ideye,West Brom,62,5.5
Zárate,West Ham,27,5.5
Akpom,Arsenal,6,5
Agbonlahor,Aston Villa,93,5
Chamakh,Crystal Palace,45,5
Koné,Everton,24,5
Pozo,Man City,4,5
Wilson,Man Utd,16,5
Fletcher,Sunderland,76,5
Anichebe,West Brom,57,5
Hepburn-Murphy,Aston Villa,1,4.5
Armstrong,Newcastle,14,4.5
Mayuka,Southampton,5,4.5
Graham,Sunderland,30,4.5
Emnes,Swansea,21,4.5
Barrow,Swansea,17,4.5
Samaras,West Brom,5,4.5
Lee,West Ham,1,4.5
