goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,64,£5.7
de Gea,Man Utd,52,£5.7
Hart,Man City,54,£5.6
Courtois,Chelsea,10,£5.2
Howard,Everton,60,£5.1
Lloris,Spurs,57,£5.1
Begovic,Chelsea,42,£5.0
Mignolet,Liverpool,46,£5.0
Stekelenburg,Southampton,47,£5.0
Adrián,West Ham,37,£5.0
Forster,Southampton,0,£4.9
Butland,Stoke,74,£4.9
Fabianski,Swansea,39,£4.9
Foster,West Brom,0,£4.9
Caballero,Man City,5,£4.8
Pantilimon,Sunderland,51,£4.8
Myhill,West Brom,65,£4.8
Ospina,Arsenal,0,£4.7
Valdés,Man Utd,0,£4.7
Gomes,Watford,71,£4.7
Boruc,Bournemouth,29,£4.5
Blackman,Chelsea,0,£4.5
Amelia,Chelsea,0,£4.5
Schmeichel,Leicester,42,£4.5
Wright,Man City,0,£4.5
Romero,Man Utd,21,£4.5
Gazzaniga,Southampton,0,£4.5
Randolph,West Ham,16,£4.5
Guzan,Aston Villa,38,£4.4
Bunn,Aston Villa,0,£4.4
Player,Team,Points,Cost
Federici,Bournemouth,7,£4.4
Allsop,Bournemouth,1,£4.4
Speroni,Crystal Palace,0,£4.4
Robles,Everton,0,£4.4
Bogdan,Liverpool,0,£4.4
Krul,Newcastle,23,£4.4
Ruddy,Norwich,35,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Arlauskis,Watford,1,£4.4
Lindegaard,West Brom,0,£4.4
Johnstone,Man Utd,0,£4.3
Vorm,Spurs,2,£4.3
Mannone,Sunderland,0,£4.3
Nordfeldt,Swansea,0,£4.3
Davis K,Southampton,2,£4.2
Macey,Arsenal,0,£4.0
McCarthy,Crystal Palace,18,£4.0
Hennessey,Crystal Palace,30,£4.0
Maddison,Leicester,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,29,£4.0
Kean,Norwich,0,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
Schwarzer,Leicester,0,£3.9
Darlow,Newcastle,0,£3.9
Rudd,Norwich,2,£3.9
Player,Team,Points,Cost
Federici,Bournemouth,7,£4.4
Allsop,Bournemouth,1,£4.4
Speroni,Crystal Palace,0,£4.4
Robles,Everton,0,£4.4
Bogdan,Liverpool,0,£4.4
Krul,Newcastle,23,£4.4
Ruddy,Norwich,35,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Arlauskis,Watford,1,£4.4
Lindegaard,West Brom,0,£4.4
Johnstone,Man Utd,0,£4.3
Vorm,Spurs,2,£4.3
Mannone,Sunderland,0,£4.3
Nordfeldt,Swansea,0,£4.3
Davis K,Southampton,2,£4.2
Macey,Arsenal,0,£4.0
McCarthy,Crystal Palace,18,£4.0
Hennessey,Crystal Palace,30,£4.0
Maddison,Leicester,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,29,£4.0
Kean,Norwich,0,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
Schwarzer,Leicester,0,£3.9
Darlow,Newcastle,0,£3.9
Rudd,Norwich,2,£3.9
defenders,,,
Player,Team,Points,Cost
Smalling,Man Utd,75,£6.9
Terry,Chelsea,18,£6.6
Ivanovic,Chelsea,26,£6.5
Otamendi,Man City,33,£6.5
Kolarov,Man City,72,£6.4
Cahill,Chelsea,27,£6.2
Kompany,Man City,58,£6.2
Baines,Everton,1,£6.1
Koscielny,Arsenal,56,£6.0
Bellerín,Arsenal,58,£5.9
Monreal,Arsenal,60,£5.9
Coleman,Everton,41,£5.9
Azpilicueta,Chelsea,43,£5.8
Zabaleta,Man City,3,£5.7
Baba Rahman,Chelsea,10,£5.6
Skrtel,Liverpool,52,£5.6
Darmian,Man Utd,50,£5.6
van Dijk,Southampton,49,£5.6
Alderweireld,Spurs,73,£5.6
Funes Mori,Everton,21,£5.5
Stones,Everton,37,£5.5
Sagna,Man City,61,£5.5
Vertonghen,Spurs,51,£5.5
Cresswell,West Ham,49,£5.5
Zouma,Chelsea,49,£5.4
Clyne,Liverpool,42,£5.4
Fonte,Southampton,48,£5.4
Mertesacker,Arsenal,28,£5.3
Dann,Crystal Palace,67,£5.3
Clichy,Man City,0,£5.3
Demichelis,Man City,7,£5.3
Mangala,Man City,28,£5.3
Shaw,Man Utd,27,£5.3
Rojo,Man Utd,31,£5.3
Bertrand,Southampton,29,£5.3
Gibbs,Arsenal,13,£5.2
Jagielka,Everton,28,£5.2
Caulker,Southampton,9,£5.2
Rose,Spurs,40,£5.2
Dier,Spurs,52,£5.2
Debuchy,Arsenal,3,£5.1
Jones,Man Utd,26,£5.1
Valencia,Man Utd,17,£5.1
Walker,Spurs,50,£5.1
Dawson,West Brom,52,£5.1
Schlupp,Leicester,26,£5.0
Moreno,Liverpool,38,£5.0
Cédric,Southampton,44,£5.0
Trippier,Spurs,1,£5.0
Johnson,Stoke,57,£5.0
Taylor,Swansea,37,£5.0
McAuley,West Brom,45,£5.0
Jenkinson,West Ham,23,£5.0
Reid,West Ham,33,£5.0
Tomkins,West Ham,35,£5.0
Amavi,Aston Villa,32,£4.9
Lovren,Liverpool,33,£4.9
Janmaat,Newcastle,34,£4.9
Mbemba,Newcastle,34,£4.9
Pieters,Stoke,53,£4.9
Williams,Swansea,33,£4.9
Fernández,Swansea,28,£4.9
Ogbonna,West Ham,23,£4.9
Djilobodji,Chelsea,0,£4.8
