Player,Team,Points,Cost,Player,Team,Points,Cost,Player,Team,Points,Cost,Player,Team,Points,Cost,Player,Team,Points,Cost,Player,Team,Points,Cost,Player,Team,Points,Cost,Player,Team,Points,Cost
Cech,Arsenal,1,£5.5,Bogdan,Liverpool,0,£4.5,Terry,Chelsea,0,£7.0,Mings,Bournemouth,0,£4.5,Hazard,Chelsea,2,£11.5,Cole,Aston Villa,0,£5.0,Agüero,Man City,1,£13.0,Gayle,Crystal Palace,0,£5.5
Courtois,Chelsea,-2,£5.5,Johnstone,Man Utd,0,£4.5,Ivanovic,Chelsea,1,£7.0,Distin,Bournemouth,0,£4.5,Sánchez,Arsenal,1,£11.0,Sinclair,Aston Villa,3,£5.0,Costa,Chelsea,2,£11.0,Campbell,Crystal Palace,0,£5.5
Hart,Man City,6,£5.5,Lindegaard,Man Utd,0,£4.5,Cahill,Chelsea,1,£6.5,Aké,Chelsea,0,£4.5,Silva,Man City,6,£10.0,Gueye,Aston Villa,2,£5.0,Sturridge,Liverpool,0,£10.5,Naismith,Everton,1,£5.5
de Gea,Man Utd,0,£5.4,Krul,Newcastle,2,£4.5,Baines,Everton,0,£6.5,Ward,Crystal Palace,2,£4.5,Walcott,Arsenal,1,£9.0,King,Bournemouth,0,£5.0,Rooney,Man Utd,5,£10.5,Nugent,Leicester,0,£5.5
Ospina,Arsenal,0,£5.0,Ruddy,Norwich,2,£4.5,Koscielny,Arsenal,1,£6.0,Kelly,Crystal Palace,0,£4.5,Fàbregas,Chelsea,2,£9.0,Arter,Bournemouth,0,£5.0,Kane,Spurs,2,£9.5,Borini,Liverpool,0,£5.5
Begovic,Chelsea,2,£5.0,Gazzaniga,Southampton,0,£4.5,Azpilicueta,Chelsea,6,£6.0,Delaney,Crystal Palace,9,£4.5,Sterling,Man City,3,£9.0,Pugh,Bournemouth,3,£5.0,Giroud,Arsenal,2,£9.0,Ayoze,Newcastle,0,£5.5
Howard,Everton,2,£5.0,Davis K,Southampton,0,£4.5,Coleman,Everton,0,£6.0,Souaré,Crystal Palace,7,£4.5,Özil,Arsenal,2,£8.5,Matic,Chelsea,2,£5.0,Benteke,Liverpool,2,£8.5,Rivière,Newcastle,0,£5.5
Mignolet,Liverpool,6,£5.0,Vorm,Spurs,2,£4.5,Zabaleta,Man City,0,£6.0,Hangeland,Crystal Palace,0,£4.5,Cazorla,Arsenal,2,£8.5,Loftus-Cheek,Chelsea,0,£5.0,Bony,Man City,5,£8.5,Bojan,Stoke,0,£5.5
Caballero,Man City,0,£5.0,Given,Stoke,0,£4.5,Kompany,Man City,14,£6.0,Galloway,Everton,2,£4.5,Ramsey,Arsenal,2,£8.5,Jedinak,Crystal Palace,1,£5.0,Lukaku,Everton,5,£8.0,Defoe,Sunderland,6,£5.5
Romero,Man Utd,8,£5.0,Butland,Stoke,2,£4.5,Smalling,Man Utd,9,£6.0,Benalouane,Leicester,1,£4.5,Oscar,Chelsea,6,£8.5,Ledley,Crystal Palace,0,£5.0,Pellè,Southampton,5,£8.0,Eder,Swansea,1,£5.5
Valdés,Man Utd,0,£5.0,Haugaard,Stoke,0,£4.5,Darmian,Man Utd,8,£5.6,Morgan,Leicester,1,£4.5,Firmino,Liverpool,1,£8.5,McArthur,Crystal Palace,5,£5.0,Welbeck,Arsenal,0,£7.5,Deeney,Watford,4,£5.5
Forster,Southampton,0,£5.0,Mannone,Sunderland,0,£4.5,Mertesacker,Arsenal,1,£5.5,Wasilewski,Leicester,0,£4.5,Yaya Touré,Man City,16,£8.5,Osman,Everton,0,£5.0,Falcao,Chelsea,1,£7.5,Ideye,West Brom,0,£5.5
Stekelenburg,Southampton,1,£5.0,Nordfeldt,Swansea,0,£4.5,Bellerín,Arsenal,0,£5.5,de Laet,Leicester,1,£4.5,Mata,Man Utd,2,£8.5,McCarthy,Everton,2,£5.0,Ings,Liverpool,0,£7.5,Zárate,West Ham,8,£5.5
Lloris,Spurs,0,£5.0,Gomes,Watford,2,£4.5,Gibbs,Arsenal,0,£5.5,Huth,Leicester,1,£4.5,Depay,Man Utd,3,£8.5,McGeady,Everton,0,£5.0,Remy,Chelsea,0,£7.4,Agbonlahor,Aston Villa,2,£5.0
Pantilimon,Sunderland,1,£5.0,Arlauskis,Watford,0,£4.5,Debuchy,Arsenal,1,£5.5,José Enrique,Liverpool,0,£4.5,Eriksen,Spurs,2,£8.5,Pienaar,Everton,0,£5.0,Balotelli,Liverpool,0,£7.0,Tomlin,Bournemouth,0,£5.0
Fabianski,Swansea,1,£5.0,Myhill,West Brom,2,£4.5,Monreal,Arsenal,0,£5.5,Touré,Liverpool,0,£4.5,Coutinho,Liverpool,10,£8.0,Kanté,Leicester,1,£5.0,Rodriguez,Southampton,2,£7.0,Kermorgant,Bournemouth,1,£5.0
Foster,West Brom,0,£5.0,Randolph,West Ham,0,£4.5,Zouma,Chelsea,1,£5.5,Ilori,Liverpool,0,£4.5,Mané,Southampton,2,£8.0,Albrighton,Leicester,15,£5.0,Gomis,Swansea,6,£7.0,Chamakh,Crystal Palace,0,£5.0
Adrián,West Ham,11,£5.0,McCarthy,Crystal Palace,3,£4.0,Jagielka,Everton,1,£5.5,Flanagan,Liverpool,0,£4.5,Cuadrado,Chelsea,0,£7.5,Allen,Liverpool,0,£5.0,Rondón,West Brom,0,£7.0,Koné,Everton,11,£5.0
Guzan,Aston Villa,6,£4.5,Hennessey,Crystal Palace,0,£4.0,Stones,Everton,1,£5.5,Denayer,Man City,0,£4.5,Lallana,Liverpool,3,£7.5,Ibe,Liverpool,3,£5.0,Mitrovic,Newcastle,0,£6.5,Iheanacho,Man City,0,£5.0
Bunn,Aston Villa,0,£4.5,Schwarzer,Leicester,0,£4.0,Skrtel,Liverpool,6,£5.5,Varela,Man Utd,0,£4.5,Sigurdsson,Swansea,2,£7.5,Fernando,Man City,0,£5.0,Cissé,Newcastle,9,£6.5,Pozo,Man City,0,£5.0
Boruc,Bournemouth,2,£4.5,Darlow,Newcastle,0,£4.0,Clyne,Liverpool,7,£5.5,Blackett,Man Utd,0,£4.5,Payet,West Ham,6,£7.5,Carrick,Man Utd,1,£5.0,Diouf,Stoke,2,£6.5,Wilson,Man Utd,0,£5.0
Federici,Bournemouth,0,£4.5,Elliot,Newcastle,0,£4.0,Kolarov,Man City,7,£5.5,Coloccini,Newcastle,1,£4.5,Willian,Chelsea,6,£7.0,Pereira,Man Utd,0,£5.0,Berahino,West Brom,2,£6.5,Jerome,Norwich,1,£5.0
Speroni,Crystal Palace,0,£4.5,Rudd,Norwich,0,£4.0,Clichy,Man City,0,£5.5,Haidara,Newcastle,6,£4.5,Mirallas,Everton,2,£7.0,Aarons,Newcastle,0,£5.0,Carroll,West Ham,0,£6.5,van Wolfswinkel,Norwich,0,£5.0
Robles,Everton,0,£4.5,Gilmartin,Watford,0,£4.0,Demichelis,Man City,1,£5.5,Dummett,Newcastle,0,£4.5,Henderson,Liverpool,3,£7.0,Hoolahan,Norwich,5,£5.0,Sakho,West Ham,2,£6.5,Fletcher,Sunderland,6,£5.0
Schmeichel,Leicester,2,£4.5,Rose,West Brom,0,£4.0,Mangala,Man City,6,£5.5,Lascelles,Newcastle,0,£4.5,Milner,Liverpool,2,£7.0,Howson,Norwich,2,£5.0,Ayew,Aston Villa,1,£6.0,Ighalo,Watford,6,£5.0
,,,,,,,,Jones,Man Utd,0,£5.5,Williamson,Newcastle,0,£4.5,Nasri,Man City,1,£7.0,Odjidja-Ofoe,Norwich,0,£5.0,Gestede,Aston Villa,6,£6.0,Vydra,Watford,0,£5.0
,,,,,,,,Shaw,Man Utd,6,£5.5,Bassong,Norwich,1,£4.5,Schweinsteiger,Man Utd,0,£7.0,Dorrans,Norwich,2,£5.0,Murray,Crystal Palace,2,£6.0,Anichebe,West Brom,1,£5.0
,,,,,,,,Rojo,Man Utd,0,£5.5,Whittaker,Norwich,1,£4.5,Herrera,Man Utd,1,£7.0,Davis,Southampton,1,£5.0,Wickham,Crystal Palace,1,£6.0,Kozák,Aston Villa,0,£4.9
,,,,,,,,Valencia,Man Utd,1,£5.5,Martin,Norwich,1,£4.5,Wijnaldum,Newcastle,7,£7.0,Hesketh,Southampton,0,£5.0,Vardy,Leicester,5,£6.0,Hepburn-Murphy,Aston Villa,0,£4.5
,,,,,,,,Caulker,Southampton,0,£5.5,Olsson,Norwich,0,£4.5,Tadic,Southampton,6,£7.0,Pritchard,Spurs,0,£5.0,Okazaki,Leicester,2,£6.0,Rantie,Bournemouth,0,£4.5
,,,,,,,,Bertrand,Southampton,0,£5.5,Wisdom,Norwich,0,£4.5,Chadli,Spurs,2,£7.0,Mason,Spurs,1,£5.0,Origi,Liverpool,0,£6.0,McAleny,Everton,0,£4.5
,,,,,,,,Fonte,Southampton,0,£5.5,Yoshida,Southampton,1,£4.5,Lamela,Spurs,1,£7.0,Carroll,Spurs,0,£5.0,Hernández,Man Utd,0,£6.0,Lawrence,Leicester,0,£4.5
,,,,,,,,Rose,Spurs,0,£5.5,Gardos,Southampton,0,£4.5,Shaqiri,Stoke,0,£7.0,Alli,Spurs,0,£5.0,Long,Southampton,5,£6.0,Armstrong,Newcastle,0,£4.5
,,,,,,,,Vertonghen,Spurs,1,£5.5,Martina,Southampton,1,£4.5,Ayew,Swansea,10,£7.0,Ireland,Stoke,0,£5.0,Juanmi,Southampton,0,£6.0,Grabban,Norwich,1,£4.5
,,,,,,,,Trippier,Spurs,0,£5.5,Chiriches,Spurs,0,£4.5,Bolasie,Crystal Palace,1,£6.5,Odemwingie,Stoke,1,£5.0,Adebayor,Spurs,0,£6.0,Hooper,Norwich,1,£4.5
,,,,,,,,Cresswell,West Ham,6,£5.5,Davies,Spurs,2,£4.5,Cabaye,Crystal Palace,10,£6.5,M'Vila,Sunderland,0,£5.0,Soldado,Spurs,0,£6.0,Lafferty,Norwich,0,£4.5
,,,,,,,,Gabriel,Arsenal,0,£5.0,Yedlin,Spurs,0,£4.5,Barkley,Everton,9,£6.5,Rodwell,Sunderland,1,£5.0,Crouch,Stoke,0,£6.0,Mayuka,Southampton,0,£4.5
