goalkeepers,,,
Player,Team,Points,Cost
Hart,Man City,13,£5.6
Cech,Arsenal,4,£5.5
Courtois,Chelsea,-2,£5.4
de Gea,Man Utd,0,£5.4
Mignolet,Liverpool,12,£5.1
Romero,Man Utd,14,£5.1
Adrián,West Ham,10,£5.1
Begovic,Chelsea,4,£5.0
Howard,Everton,10,£5.0
Caballero,Man City,0,£5.0
Forster,Southampton,0,£5.0
Stekelenburg,Southampton,2,£5.0
Lloris,Spurs,2,£5.0
Pantilimon,Sunderland,3,£5.0
Fabianski,Swansea,7,£5.0
Foster,West Brom,0,£5.0
Ospina,Arsenal,0,£4.9
Valdés,Man Utd,0,£4.9
Guzan,Aston Villa,8,£4.5
Bunn,Aston Villa,0,£4.5
Boruc,Bournemouth,4,£4.5
Federici,Bournemouth,0,£4.5
Blackman,Chelsea,0,£4.5
Speroni,Crystal Palace,0,£4.5
Robles,Everton,0,£4.5
Schmeichel,Leicester,4,£4.5
Player,Team,Points,Cost
Bogdan,Liverpool,0,£4.5
Johnstone,Man Utd,0,£4.5
Lindegaard,Man Utd,0,£4.5
Krul,Newcastle,4,£4.5
Ruddy,Norwich,4,£4.5
Gazzaniga,Southampton,0,£4.5
Vorm,Spurs,2,£4.5
Given,Stoke,0,£4.5
Butland,Stoke,4,£4.5
Haugaard,Stoke,0,£4.5
Mannone,Sunderland,0,£4.5
Nordfeldt,Swansea,0,£4.5
Gomes,Watford,8,£4.5
Arlauskis,Watford,0,£4.5
Myhill,West Brom,12,£4.5
Randolph,West Ham,0,£4.5
Davis K,Southampton,0,£4.4
McCarthy,Crystal Palace,5,£4.0
Hennessey,Crystal Palace,0,£4.0
Maddison,Leicester,0,£4.0
Schwarzer,Leicester,0,£4.0
Darlow,Newcastle,0,£4.0
Elliot,Newcastle,0,£4.0
Rudd,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Player,Team,Points,Cost
Bogdan,Liverpool,0,£4.5
Johnstone,Man Utd,0,£4.5
Lindegaard,Man Utd,0,£4.5
Krul,Newcastle,4,£4.5
Ruddy,Norwich,4,£4.5
Gazzaniga,Southampton,0,£4.5
Vorm,Spurs,2,£4.5
Given,Stoke,0,£4.5
Butland,Stoke,4,£4.5
Haugaard,Stoke,0,£4.5
Mannone,Sunderland,0,£4.5
Nordfeldt,Swansea,0,£4.5
Gomes,Watford,8,£4.5
Arlauskis,Watford,0,£4.5
Myhill,West Brom,12,£4.5
Randolph,West Ham,0,£4.5
Davis K,Southampton,0,£4.4
McCarthy,Crystal Palace,5,£4.0
Hennessey,Crystal Palace,0,£4.0
Maddison,Leicester,0,£4.0
Schwarzer,Leicester,0,£4.0
Darlow,Newcastle,0,£4.0
Elliot,Newcastle,0,£4.0
Rudd,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
defenders,,,
Player,Team,Points,Cost
Terry,Chelsea,1,£7.0
Ivanovic,Chelsea,1,£7.0
Cahill,Chelsea,2,£6.5
Baines,Everton,0,£6.4
Kompany,Man City,25,£6.2
Smalling,Man Utd,16,£6.1
Koscielny,Arsenal,3,£6.0
Rahman,Chelsea,0,£6.0
Azpilicueta,Chelsea,7,£6.0
Coleman,Everton,11,£6.0
Zabaleta,Man City,0,£6.0
Darmian,Man Utd,15,£5.7
Kolarov,Man City,16,£5.6
Shaw,Man Utd,13,£5.6
Mertesacker,Arsenal,3,£5.5
Bellerín,Arsenal,2,£5.5
Debuchy,Arsenal,1,£5.5
Monreal,Arsenal,2,£5.5
Zouma,Chelsea,1,£5.5
Jagielka,Everton,7,£5.5
Stones,Everton,8,£5.5
Skrtel,Liverpool,13,£5.5
Clyne,Liverpool,13,£5.5
Demichelis,Man City,2,£5.5
Mangala,Man City,11,£5.5
Rojo,Man Utd,0,£5.5
Caulker,Southampton,0,£5.5
Bertrand,Southampton,0,£5.5
Fonte,Southampton,1,£5.5
Rose,Spurs,0,£5.5
Vertonghen,Spurs,2,£5.5
Cresswell,West Ham,7,£5.5
Gibbs,Arsenal,1,£5.4
Clichy,Man City,0,£5.4
Jones,Man Utd,0,£5.4
Valencia,Man Utd,1,£5.4
Trippier,Spurs,0,£5.4
Amavi,Aston Villa,11,£5.0
Bacuna,Aston Villa,7,£5.0
Dann,Crystal Palace,3,£5.0
Schlupp,Leicester,5,£5.0
Lovren,Liverpool,13,£5.0
Sagna,Man City,12,£5.0
Janmaat,Newcastle,-2,£5.0
Mbemba,Newcastle,2,£5.0
Cédric,Southampton,4,£5.0
Alderweireld,Spurs,3,£5.0
Walker,Spurs,0,£5.0
Dier,Spurs,8,£5.0
Pieters,Stoke,2,£5.0
Johnson,Stoke,3,£5.0
Naughton,Swansea,7,£5.0
Williams,Swansea,9,£5.0
Taylor,Swansea,9,£5.0
Fernández,Swansea,5,£5.0
Chester,West Brom,0,£5.0
Dawson,West Brom,7,£5.0
Lescott,West Brom,1,£5.0
McAuley,West Brom,6,£5.0
Jenkinson,West Ham,0,£5.0
Reid,West Ham,7,£5.0
Tomkins,West Ham,5,£5.0
Ogbonna,West Ham,6,£5.0
Gabriel,Arsenal,0,£4.9
Chambers,Arsenal,0,£4.9
Fuchs,Leicester,2,£4.9
Sakho,Liverpool,0,£4.9
Moreno,Liverpool,1,£4.9
Evans,Man Utd,0,£4.9
McNair,Man Utd,0,£4.9
Fazio,Spurs,0,£4.9
Wimmer,Spurs,0,£4.9
Shawcross,Stoke,0,£4.9
van Aanholt,Sunderland,1,£4.9
Tabanou,Swansea,0,£4.9
Richards,Aston Villa,10,£4.6
Gomez,Liverpool,16,£4.6
Crespo,Aston Villa,0,£4.5
Richardson,Aston Villa,1,£4.5
Clark,Aston Villa,7,£4.5
Okore,Aston Villa,0,£4.5
Francis,Bournemouth,4,£4.5
Cook,Bournemouth,2,£4.5
Elphick,Bournemouth,4,£4.5
Daniels,Bournemouth,4,£4.5
Ward,Crystal Palace,12,£4.5
Player,Team,Points,Cost
Delaney,Crystal Palace,8,£4.5
Souaré,Crystal Palace,8,£4.5
Galloway,Everton,8,£4.5
Benalouane,Leicester,1,£4.5
Morgan,Leicester,3,£4.5
de Laet,Leicester,3,£4.5
Huth,Leicester,3,£4.5
